date [mm-dd-yyyy]; recording company; matrix number; title; artist(s)
01-01-1927; Edison; 12025; Symphony no. 5—Part 1; American Symphony Orchestra
01-03-1927; Victor; BVE-22567; Lonesome—that's all; Lambert Murphy
01-03-1927; Victor; BVE-37094; Morge frueh wenn d'Sunne lacht; Gebrüder Moser
01-03-1927; Victor; BVE-37095; Hossae Chueli; Gebrüder Moser
01-03-1927; Victor; BVE-37096; Mädel, bleib' immer bei mir; Gebrüder Moser
01-03-1927; Victor; BVE-37097; Leb' wohl, schwarzbraunes Mägdelein; Gebrüder Moser
01-03-1927; Victor; BVE-37098; Immer fidel; Gebrüder Moser
01-03-1927; Victor; CVE-37099; Grundelwaldnerlied; Gebrüder Moser
01-03-1927; Victor; BVE-37503; I love the moonlight; Peerless Quartet
01-03-1927; Victor; BVE-37504; Perhaps you'll think of me; Henry Burr ; Carl Mathieu
01-03-1927; Victor; BVE-37505; The dancers; Victor Orchestra
01-03-1927; Victor; BVE-37506; Full hand; Orquesta Internacional
01-03-1927; Victor; CVE-37600; Schreb de gly!; Gebrüder Moser
01-03-1927; Victor; BVE-37601; Der Einsiedler; Alfred Moser
01-03-1927; Victor; BVE-37602; 'S huettli ob der Flueh; Gebrüder Moser
01-03-1927; Victor; BVE-37603; Uf em Baergli; Gebrüder Moser
01-03-1927; Okeh; W80275; Usen't you used to be my sweetie?; Ted Wallace and his Orchestra
01-03-1927; Okeh; W80276; If all the stars were pretty babies (And I was the man in the moon); Ted Wallace and his Orchestra
01-03-1927; Okeh; W80277; When I first met Mary; Ted Wallace and his Orchestra
01-03-1927; Okeh; W80278; Since I found you; Jazz Pilots ; Harry Reser
01-03-1927; Okeh; W80279; You know—I know, ev'rything's made for love; Jazz Pilots ; Harry Reser ; Tom Stacks
01-03-1927; Okeh; W80280; Where do you work-a John? (Push-a, push-a, push); Jazz Pilots ; Harry Reser ; Tom Stacks and his Gang
01-03-1927; Brunswick; E4325-E4326; Proud (Of a baby like you); The Ambassadors
01-03-1927; Brunswick; E4327-E4328; Sumatra; The Ambassadors
01-03-1927; Brunswick; E21100-E21102; Ev'rything's made for love; Casa Lopez Orchestra ; Vincent Lopez
01-03-1927; Brunswick; E21103-E21105; Song of the wanderer; Casa Lopez Orchestra ; Vincent Lopez
01-03-1927; Edison; 11411; Rhapsodie russe; Arrowhead Inn Orchestra ; Harold Veo
01-03-1927; Edison; 11412; Pale moon (An Indian love song); Arrowhead Inn Orchestra ; Harold Veo
01-03-1927; Edison; 12026; Symphony no. 5—Part 2; American Symphony Orchestra
01-03-1927; Gramophone; CR892; Fantasia in D minor; Harold Darke
00-00-1927; Columbia (U.K.); WL338; Quand c'est une femme; Georges van Parys ; Saint-Granier
00-00-1927; Columbia (U.K.); WL339; Spooning; Georges van Parys ; Saint-Granier
01-04-1927; Victor; BVE-37331; The unclouded day; Homer A. Rodeheaver
01-04-1927; Victor; CVE-37332; The great judgment morning; Homer A. Rodeheaver
01-04-1927; Victor; CVE-37333; Mother's prayers have followed me; Homer A. Rodeheaver
01-04-1927; Victor; BVE-37334; My wonderful dream; Homer A. Rodeheaver
01-04-1927; Victor; BVE-37335; If your heart keeps right; Homer A. Rodeheaver
01-04-1927; Victor; BVE-37336; All the way to Calvary; Homer A. Rodeheaver
01-04-1927; Victor; BVE-37337; Molly and the baby, don't you know; Homer A. Rodeheaver
01-04-1927; Victor; BVE-37338; You can smile; Homer A. Rodeheaver
01-04-1927; Victor; BVE-37502; Money musk no. 1; Victor Orchestra
01-04-1927; Victor; BVE-37507; Sunny disposish; Frank Crumit
01-04-1927; Victor; BVE-37508; High-high-high up in the hills (Watching the clouds roll by); Frank Crumit
01-04-1927; Victor; BVE-37509; My lady; Frank Crumit
01-04-1927; Victor; BVE-37510; The Irish jaunting car; Mattie Haskins
01-04-1927; Victor; BVE-37511; Killarney, my home o'er the sea; Mattie Haskins
01-04-1927; Victor; BVE-37604; Virginia reels; Victor Orchestra
01-04-1927; Victor; BVE-37605; Dance of greeting (Danish); Victor Orchestra
01-04-1927; Victor; BVE-37606; I see you; Victor Orchestra
01-04-1927; Columbia; W143258; Someday sweetheart; Charleston Chasers
01-04-1927; Columbia; W143259; After you've gone; Charleston Chasers
01-04-1927; Columbia; 143260; Washboard blues; Arkansaw Travellers
01-04-1927; Columbia; 143261; That's no bargain; Arkansaw Travellers
01-04-1927; Columbia; 143262; Boneyard shuffle; Arkansaw Travellers
01-04-1927; Okeh; W80281; In a little Spanish town 'twas on a night like this (Waltz); Irving Kaufman ; Lanin’s Famous Players
01-04-1927; Okeh; W80282; Moonlight on the Ganges; Irving Kaufman ; Lanin’s Famous Players
01-04-1927; Okeh; W80283; My little bunch of happiness; Bar Harbor Society Orchestra
01-04-1927; Okeh; W80284; I never see Maggie alone; Bar Harbor Society Orchestra
01-04-1927; Okeh; W80285; Here or there (As long as I'm with you); Bar Harbor Society Orchestra
01-04-1927; Okeh; W80286; Pearl Bryan; Vernon Dalhart
01-04-1927; Okeh; W80287; The sad lover; Vernon Dalhart
01-04-1927; Brunswick; E21106-E21108; Mocosita; Castilians
01-04-1927; Brunswick; E21109-E21111; Besos y cerezas; Castilians
01-04-1927; Brunswick; XE21112-XE21113; Demonstration record, pt. 1; Brunswick House Orchestra
01-04-1927; Brunswick; XE21114-XE21115; Demonstration record, pt. 2; Brunswick House Orchestra
01-04-1927; Edison; 11413; You went away too far (And stayed away too long); Florida Four
01-04-1927; Edison; 11414; When I first met Mary; Florida Four
01-04-1927; Gramophone; CR894; Fountains of Rome; Albert Coates ; London Symphony Orchestra
01-04-1927; Gramophone; CR895; Fountains of Rome; Albert Coates ; London Symphony Orchestra
01-04-1927; Gramophone; CR896; Fountains of Rome; Albert Coates ; London Symphony Orchestra
01-04-1927; Gramophone; CR897; Fountains of Rome; Albert Coates ; London Symphony Orchestra
01-04-1927; Plaza; 7029; What does it matter?; Irving Kaufman
01-04-1927; Plaza; 7030; I may learn to forget some day; Charles Harrison
01-04-1927; Plaza; 7031; Forgive me; Arthur Fields
01-04-1927; Plaza; 7032; Crazy words crazy tune (Vo-do-de-o); Bill Perry's Band
01-05-1927; Victor; CVE-19169; Emperor quartet : Theme and variations; Elman String Quartet
01-05-1927; Victor; CVE-21497; Andante cantabile; Elman String Quartet
01-05-1927; Victor; BVE-37339; Drifting; Henry Burr ; Homer A. Rodeheaver
01-05-1927; Victor; BVE-37340; Closer to Jesus; Henry Burr ; Homer A. Rodeheaver
01-05-1927; Victor; BVE-37341; Where the gates swing outward never; Henry Burr ; Homer A. Rodeheaver
01-05-1927; Victor; CVE-37403; Quartet in D minor; Elman String Quartet
01-05-1927; Victor; CVE-37404; Quartet in D minor; Elman String Quartet
01-05-1927; Victor; CVE-37405; Quartet in D minor; Elman String Quartet
01-05-1927; Victor; CVE-37406; Quartet in D minor; Elman String Quartet
01-05-1927; Victor; BVE-37512; Cartago; Orquesta Internacional
01-05-1927; Victor; BVE-37513; Papillons noirs; Orquesta Internacional
01-05-1927; Victor; BVE-37514; Encaje de almagro; Orquesta Internacional
01-05-1927; Victor; BVE-37515; Lolita; Orquesta Internacional
01-05-1927; Victor; BVE-37516; Mar; Orquesta Internacional
01-05-1927; Victor; BVE-37517; De mi cosecha; Orquesta Internacional
01-05-1927; Victor; BVE-37518; Guabina santandereana; Orquesta Internacional
01-05-1927; Victor; BVE-37607; Mammy's little kinky-headed boy; The Silver-Masked Tenor
01-05-1927; Victor; BVE-37608; Dear heart, what might have been; The Silver-Masked Tenor
